,Symbol
37776,135661.BO
34492,135721.BO
36738,1359108.SW
17697,136280.KS
17214,136340.KS
40004,13641198.SW
8984,1364141.IR
23504,1364144.IR
35982,13642402.SW
43938,13643379.MC
36578,1365473.SW
29145,13693263.SW
23278,13711559.SW
42625,13724748.IR
31757,13750329.SW
17346,137610.KS
36598,13773543.IR
40143,13779174.IR
17218,137930.KS
14599,137990.KS
17609,138210.KS
17595,138230.KS
17555,138520.KS
14893,138530.KS
15998,138540.KS
17532,138910.KS
17295,138920.KS
14794,13894397.SW
22932,13910159.SW
8619,13910160.SW
31154,13913767.SW
11781,139220.KS
17525,139230.KS
17505,139240.KS
17496,139250.KS
17552,139260.KS
17195,139270.KS
17186,139280.KS
12985,139290.KS
17482,139310.KS
14532,139320.KS
18085,13941359.IR
10399,139463.L
34165,13956876.IR
13745,139660.KS
41384,13987644.MU
24074,13ND.L
24156,13NS.L
28089,13QA.L
22245,13QC.L
19018,13QL.L
22460,13XQ.L
43678,1400257.IR
33029,1402230.IR
43308,14024227.SW
40582,14025410.IR
32025,14025536.SW
32153,14025912.IR
33147,14029061.SW
37401,14031715.IR
35954,1403877.IR
17207,140570.KS
17220,140580.KS
41662,14059581.SW
17223,140700.KS
17320,140710.KS
34522,1408248.IR
39308,14093749.IR
38202,14093749.IR
17315,140950.KS
35844,14103643.SW
17323,141240.KS
8138,141250.KS
35490,1421649.IR
38574,1421813.MC
39677,1421813.MC
36530,14219584.SW
37381,14265.AX
38883,14287599.IR
37883,14287599.IR
8081,1429074.SW
13898,14338732.SW
10101,14338735.SW
24285,14338745.SW
17246,143460.KS
37686,1434731.SW
28873,14383213.IR
17643,143850.KS
15724,143860.KS
43509,14387214.MC
30493,14395.AX
40072,14436657.SW
17046,14447830.IR
14090,144600.KS
17560,144670.KS
28635,14483132.SW
38147,14493755.IR
39254,14493755.IR
35716,14493980.IR
23146,14547764.SW
23096,14547766.SW
23244,14547777.SW
23149,14547779.SW
23110,14547791.SW
17459,145670.KS
17222,145850.KS
25095,14620148.IR
36699,1464104.SW
32877,1467279.IR
34834,14703146.SW
30324,14772685.SW
17497,147970.KS
17251,148020.KS
17263,148040.KS
17319,148070.KS
35598,1489378.IR
17687,149130.KS
41861,14917470.SW
30575,14917791.SW
31294,14926506.SW
38537,14943000.IR
35943,14975832.IR
10725,14LU.L
18475,14PG.L
14513,14TS.L
24033,14ZM.L
36647,150082.SZ
17342,150460.KS
17684,152100.KS
17589,152180.KS
17252,152280.KS
17202,152380.KS
30431,1524164.SW
34610,1524185.SW
17664,152500.KS
32173,1525934.SW
18275,1527010.IR
17540,152870.KS
17236,153130.KS
17640,153270.KS
29080,1543355.IR
42489,1555615.IR
34703,155912.SW
17433,156080.KS
37677,1570143.IR
17297,157450.KS
17331,157490.KS
17256,157500.KS
17372,157510.KS
17191,157520.KS
17209,157650.KS
39907,1584014.IR
29898,1591734.SW
42964,1597758.IR
17307,159800.KS
22610,15AR.L
8801,15BW.L
14637,15CV.L
24744,15EB.L
10359,15KC.L
10491,15KV.L
21494,15PF.L
21353,15QU.L
18928,15QV.L
18471,15QW.L
18696,15SK.L
15637,15SM.L
27341,15TQ.L
14562,15UO.L
9914,15VN.L
22507,15XR.L
10475,15YB.L
15015,15YF.L
31321,1601247.IR
17699,160580.KS
17370,161490.KS
17668,161500.KS
17475,161510.KS
7736,161520.KS
17356,161530.KS
7711,161540.KS
17383,161550.KS
43946,16302.AX
34211,1642034.SW
42305,1643168.SW
12548,1644700.SW
33083,1658630.IR
17393,166060.KS
17288,166400.KS
34396,1671624.SW
28439,16765.AX
29365,16767.AX
35614,16772.AX
28810,16773.AX
17210,167860.KS
43011,16810.AX
34755,16814.AX
17198,168300.KS
32321,1684689.IR
28923,168490.KS
17355,168580.KS
33306,1694103.IR
17698,169950.KS
42775,1699780.IR
24911,1699984.SW
24963,1699986.SW
28084,16BQ.L
24181,16BX.L
24086,16EH.L
15055,16FB.L
27987,16FZ.L
11970,16GB.L
15874,16GD.L
8465,16GE.L
22150,16GF.L
18303,16GH.L
15464,16GI.L
22776,16GJ.L
22203,16GK.L
19575,16GL.L
22658,16TO.L
22584,16UD.L
22442,16YN.L
22136,16ZZ.L
10454,170350.KS
7649,1714271.SW
43073,17256.AX
35544,1731496.SW
8242,1731541.SW
30837,1732837.IR
35073,17364.AX
35141,17399.AX
17582,174350.KS
17417,174360.KS
36528,17442.AX
31873,1744440.IR
42396,1750193.IR
27428,1756909.SW
14028,1756939.SW
30763,1763063.IR
17710,176710.KS
17449,176950.KS
28716,1771704.IR
34928,1783999.IR
37106,1790263.IR
30646,1793469.IR
26809,17GN.L
24130,17HV.L
14490,17JB.L
10297,17NG.L
28077,17PI.L
18035,17RX.L
22449,17RY.L
22175,17SK.L
15769,17UN.L
10309,17VG.L
10159,17VH.L
10371,17WD.L
24125,17WO.L
23458,17XN.L
9922,17YU.L
29316,18002995.SW
30249,18084116.IR
35565,1808698.IR
35039,1809210.IR
30427,1809219.IR
39706,18095076.SW
38602,18095076.SW
33724,18095239.SW
